address,class,data-pid,data-pname,data-price,data-equipment,data-style,data-variant,data-vgid,data-minspeed
13031 12TH AVE NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
13031 12TH AVE NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
13031 12TH AVE NW SEATTLE WA 98177 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
13043 19TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13043 19TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13046 25TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13046 25TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1305 24TH AVE S SEATTLE WA 98144 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1305 24TH AVE S SEATTLE WA 98144 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13050 23RD AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13050 23RD AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13050 CORLISS AVE N SEATTLE WA 98133 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13050 CORLISS AVE N SEATTLE WA 98133 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13056 1ST AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13056 1ST AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13056 27TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13056 27TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13057 28TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13057 28TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1306 N  85TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1306 N  85TH ST SEATTLE WA 98103 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13064 ROOSEVELT WAY NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13064 ROOSEVELT WAY NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1307 N  38TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
1307 N  38TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
1307 N  38TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
1307 N  38TH ST SEATTLE WA 98103 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
1307 N  88TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1307 N  88TH ST SEATTLE WA 98103 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1308 NW  80TH ST SEATTLE WA 98117 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1308 NW  80TH ST SEATTLE WA 98117 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1309 NW  85TH ST SEATTLE WA 98117 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1309 NW  85TH ST SEATTLE WA 98117 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
131 N  79TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
131 N  79TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
131 N  79TH ST SEATTLE WA 98103 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
131 N  79TH ST SEATTLE WA 98103 USA,product selected,C-HSI-FBR-001~1,Fiber Internet,$75.00,null,null,Up to 940 Mbps,C-HSI-FBR-001-940-Mbps,940.0
13100 AURORA AVE N SEATTLE WA 98133 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
13100 AURORA AVE N SEATTLE WA 98133 USA,product ,C-HSI-FBR-001~5,Fiber Internet,$30.00,null,null,Up to 200 Mbps,C-HSI-FBR-001-200-Mbps,200.0
13100 AURORA AVE N SEATTLE WA 98133 USA,product ,C-HSI-FBR-001~3,Fiber Internet,$50.00,null,null,Up to 500 Mbps,C-HSI-FBR-001-500-Mbps,500.0
